Old_name	New_name	Library_name	Population	Position in cluster	Sex
IT07	IT07	IT07	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT07/IT07.bam	2
IT08	IT08	IT08	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT08/IT08.bam	2
IT09	IT09	IT09	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT09/IT09.bam	1
IT10	IT10	IT10	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT10/IT10.bam	2
MA01	MA01	MA01	MA	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/MA01/MA01.bam	2
MA02	MA02	MA02	MA	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/MA02/MA02.bam	2
MA03	MA03	MA03	MA	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/MA03/MA03.bam	1
PT01	PT01	TSP41	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP41/TSP41.bam	2
PT02	PT02	TSP50	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP50/TSP50.bam	1
PT03	PT03	TSP51	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP51/TSP51.bam	1
PT04	PT04	TSP63	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP63/TSP63.bam	2
PT05	PT05	TSP68	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP68/TSP68.bam	2
PT06	PT06	TSP69	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP69/TSP69.bam	2
PT07	PT07	TSP70	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP70/TSP70.bam	2
PT08	PT08	TSP73	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP73/TSP73.bam	2
PT09	PT09	TSP76	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP76/TSP76.bam	1
PT10	PT10	TSP83	PT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP83/TSP83.bam	1
GE01	GE01	Georgian1	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian1/Georgian1.bam	2
GE02	GE02	Georgian2	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian2/Georgian2.bam	1
GE03	GE03	Georgian3	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian3/Georgian3.bam	1
GE04	GE04	Georgian4	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian4/Georgian4.bam	1
